case_id,side,target_visible_ratio,actual_red_pixel_ratio,foreground_plate_y,foreground_plate_width_m,expected_red_ball_count,detection_count,false_negative_count,result,max_confidence,annotated_image,raw_image,note
native3d_foreground_occlusion_baseline,none,1.0,1.0,,,1,1,0,pass,0.9568,images/native3d_foreground_occlusion_baseline_detected.png,raw_frames.zip/native3d_foreground_occlusion_baseline.ppm,no foreground occluder
native3d_foreground_occlusion_left_05pct_target,left,0.05,0.018,30.188,0.3128,1,0,1,missed,0.0,images/native3d_foreground_occlusion_left_05pct_target_detected.png,raw_frames.zip/native3d_foreground_occlusion_left_05pct_target.ppm,"foreground occluder between camera and ball, x_center=-3.2832"
native3d_foreground_occlusion_left_10pct_target,left,0.1,0.048,30.188,0.2964,1,0,1,missed,0.0,images/native3d_foreground_occlusion_left_10pct_target_detected.png,raw_frames.zip/native3d_foreground_occlusion_left_10pct_target.ppm,"foreground occluder between camera and ball, x_center=-3.2915"
native3d_foreground_occlusion_left_15pct_target,left,0.15,0.094,30.188,0.2799,1,0,1,missed,0.0,images/native3d_foreground_occlusion_left_15pct_target_detected.png,raw_frames.zip/native3d_foreground_occlusion_left_15pct_target.ppm,"foreground occluder between camera and ball, x_center=-3.2997"
native3d_foreground_occlusion_left_25pct_target,left,0.25,0.19,30.188,0.247,1,0,1,missed,0.0,images/native3d_foreground_occlusion_left_25pct_target_detected.png,raw_frames.zip/native3d_foreground_occlusion_left_25pct_target.ppm,"foreground occluder between camera and ball, x_center=-3.3162"
native3d_foreground_occlusion_left_35pct_target,left,0.35,0.312,30.188,0.214,1,0,1,missed,0.0,images/native3d_foreground_occlusion_left_35pct_target_detected.png,raw_frames.zip/native3d_foreground_occlusion_left_35pct_target.ppm,"foreground occluder between camera and ball, x_center=-3.3326"
native3d_foreground_occlusion_left_45pct_target,left,0.45,0.437,30.188,0.1811,1,1,0,pass,0.7488,images/native3d_foreground_occlusion_left_45pct_target_detected.png,raw_frames.zip/native3d_foreground_occlusion_left_45pct_target.ppm,"foreground occluder between camera and ball, x_center=-3.3491"
native3d_foreground_occlusion_left_55pct_target,left,0.55,0.566,30.188,0.1482,1,1,0,pass,0.7998,images/native3d_foreground_occlusion_left_55pct_target_detected.png,raw_frames.zip/native3d_foreground_occlusion_left_55pct_target.ppm,"foreground occluder between camera and ball, x_center=-3.3656"
native3d_foreground_occlusion_left_65pct_target,left,0.65,0.69,30.188,0.1153,1,1,0,pass,0.8437,images/native3d_foreground_occlusion_left_65pct_target_detected.png,raw_frames.zip/native3d_foreground_occlusion_left_65pct_target.ppm,"foreground occluder between camera and ball, x_center=-3.3820"
native3d_foreground_occlusion_left_75pct_target,left,0.75,0.803,30.188,0.0823,1,1,0,pass,0.8813,images/native3d_foreground_occlusion_left_75pct_target_detected.png,raw_frames.zip/native3d_foreground_occlusion_left_75pct_target.ppm,"foreground occluder between camera and ball, x_center=-3.3985"
native3d_foreground_occlusion_left_85pct_target,left,0.85,0.905,30.188,0.0494,1,1,0,pass,0.9172,images/native3d_foreground_occlusion_left_85pct_target_detected.png,raw_frames.zip/native3d_foreground_occlusion_left_85pct_target.ppm,"foreground occluder between camera and ball, x_center=-3.4149"
native3d_foreground_occlusion_right_05pct_target,right,0.05,0.01,30.188,0.3128,1,0,1,missed,0.0,images/native3d_foreground_occlusion_right_05pct_target_detected.png,raw_frames.zip/native3d_foreground_occlusion_right_05pct_target.ppm,"foreground occluder between camera and ball, x_center=-3.2668"
native3d_foreground_occlusion_right_10pct_target,right,0.1,0.046,30.188,0.2964,1,0,1,missed,0.0,images/native3d_foreground_occlusion_right_10pct_target_detected.png,raw_frames.zip/native3d_foreground_occlusion_right_10pct_target.ppm,"foreground occluder between camera and ball, x_center=-3.2585"
native3d_foreground_occlusion_right_15pct_target,right,0.15,0.083,30.188,0.2799,1,0,1,missed,0.0,images/native3d_foreground_occlusion_right_15pct_target_detected.png,raw_frames.zip/native3d_foreground_occlusion_right_15pct_target.ppm,"foreground occluder between camera and ball, x_center=-3.2503"
native3d_foreground_occlusion_right_25pct_target,right,0.25,0.188,30.188,0.247,1,0,1,missed,0.0,images/native3d_foreground_occlusion_right_25pct_target_detected.png,raw_frames.zip/native3d_foreground_occlusion_right_25pct_target.ppm,"foreground occluder between camera and ball, x_center=-3.2338"
native3d_foreground_occlusion_right_35pct_target,right,0.35,0.31,30.188,0.214,1,0,1,missed,0.0,images/native3d_foreground_occlusion_right_35pct_target_detected.png,raw_frames.zip/native3d_foreground_occlusion_right_35pct_target.ppm,"foreground occluder between camera and ball, x_center=-3.2174"
native3d_foreground_occlusion_right_45pct_target,right,0.45,0.434,30.188,0.1811,1,1,0,pass,0.7528,images/native3d_foreground_occlusion_right_45pct_target_detected.png,raw_frames.zip/native3d_foreground_occlusion_right_45pct_target.ppm,"foreground occluder between camera and ball, x_center=-3.2009"
native3d_foreground_occlusion_right_55pct_target,right,0.55,0.562,30.188,0.1482,1,1,0,pass,0.7967,images/native3d_foreground_occlusion_right_55pct_target_detected.png,raw_frames.zip/native3d_foreground_occlusion_right_55pct_target.ppm,"foreground occluder between camera and ball, x_center=-3.1844"
native3d_foreground_occlusion_right_65pct_target,right,0.65,0.683,30.188,0.1153,1,1,0,pass,0.8445,images/native3d_foreground_occlusion_right_65pct_target_detected.png,raw_frames.zip/native3d_foreground_occlusion_right_65pct_target.ppm,"foreground occluder between camera and ball, x_center=-3.1680"
native3d_foreground_occlusion_right_75pct_target,right,0.75,0.805,30.188,0.0823,1,1,0,pass,0.8815,images/native3d_foreground_occlusion_right_75pct_target_detected.png,raw_frames.zip/native3d_foreground_occlusion_right_75pct_target.ppm,"foreground occluder between camera and ball, x_center=-3.1515"
native3d_foreground_occlusion_right_85pct_target,right,0.85,0.905,30.188,0.0494,1,1,0,pass,0.9188,images/native3d_foreground_occlusion_right_85pct_target_detected.png,raw_frames.zip/native3d_foreground_occlusion_right_85pct_target.ppm,"foreground occluder between camera and ball, x_center=-3.1351"
