actual_lateral_move_count,actual_visible_ratio,background_edge_ratios,case_id,criterion,description,error,expected_red_ball_count,final_confirmed_count,initial_partial_count,initial_red_pixel_count,initial_strict_count,localized_truth_count,max_localization_error_m,mean_localization_error_m,metadata,motions,partial_counts_by_view,result,source_batch,strict_counts_by_view,suite
0,,[0.005325520833333333],official_classic_object_01_sphere_standard,单视角红球应产生严格候选；所有红色非球体不得被确认，形状结论交给多视角套件。；背景结构边缘比例必须 >= 0.0060，防止近墙/空白画面充当复杂环境证据。,官方复杂楼宇红色物品：sphere_standard,,1,0,0,2464,1,1,3.0242,3.0242,"{'shape_name': 'sphere_standard', 'is_red_sphere_target': True}",[],[0],fail,20260719_seed2026071802_c401b4e_p1,[1],red_objects
0,,[0.007047526041666667],official_classic_object_02_sphere_small,单视角红球应产生严格候选；所有红色非球体不得被确认，形状结论交给多视角套件。,官方复杂楼宇红色物品：sphere_small,,1,0,0,1092,1,1,4.4693,4.4693,"{'shape_name': 'sphere_small', 'is_red_sphere_target': True}",[],[0],pass,20260719_seed2026071802_c401b4e_p1,[1],red_objects
0,,[0.005384114583333334],official_classic_object_03_sphere_large,单视角红球应产生严格候选；所有红色非球体不得被确认，形状结论交给多视角套件。；背景结构边缘比例必须 >= 0.0060，防止近墙/空白画面充当复杂环境证据。,官方复杂楼宇红色物品：sphere_large,,1,0,0,4937,1,1,2.226,2.226,"{'shape_name': 'sphere_large', 'is_red_sphere_target': True}",[],[0],fail,20260719_seed2026071802_c401b4e_p1,[1],red_objects
0,,[0.005384114583333334],official_classic_object_04_cube,单视角红球应产生严格候选；所有红色非球体不得被确认，形状结论交给多视角套件。；背景结构边缘比例必须 >= 0.0060，防止近墙/空白画面充当复杂环境证据。,官方复杂楼宇红色物品：cube,,0,0,1,3687,0,0,,,"{'shape_name': 'cube', 'is_red_sphere_target': False}",[],[1],fail,20260719_seed2026071802_c401b4e_p1,[0],red_objects
0,,[0.005406901041666667],official_classic_object_05_tall_cuboid,单视角红球应产生严格候选；所有红色非球体不得被确认，形状结论交给多视角套件。；背景结构边缘比例必须 >= 0.0060，防止近墙/空白画面充当复杂环境证据。,官方复杂楼宇红色物品：tall_cuboid,,0,0,1,3173,0,0,,,"{'shape_name': 'tall_cuboid', 'is_red_sphere_target': False}",[],[1],fail,20260719_seed2026071802_c401b4e_p1,[0],red_objects
0,,[0.01439453125],official_classic_object_06_flat_panel,单视角红球应产生严格候选；所有红色非球体不得被确认，形状结论交给多视角套件。,官方复杂楼宇红色物品：flat_panel,,0,0,1,4419,0,0,,,"{'shape_name': 'flat_panel', 'is_red_sphere_target': False}",[],[1],pass,20260719_seed2026071802_c401b4e_p1,[0],red_objects
0,,[0.008880208333333334],official_classic_object_07_cylinder_vertical,单视角红球应产生严格候选；所有红色非球体不得被确认，形状结论交给多视角套件。,官方复杂楼宇红色物品：cylinder_vertical,,0,0,1,3969,0,0,,,"{'shape_name': 'cylinder_vertical', 'is_red_sphere_target': False}",[],[1],pass,20260719_seed2026071802_c401b4e_p1,[0],red_objects
0,,[0.005592447916666667],official_classic_object_08_cylinder_face,单视角红球应产生严格候选；所有红色非球体不得被确认，形状结论交给多视角套件。；背景结构边缘比例必须 >= 0.0060，防止近墙/空白画面充当复杂环境证据。,官方复杂楼宇红色物品：cylinder_face,,0,0,0,2894,1,0,,,"{'shape_name': 'cylinder_face', 'is_red_sphere_target': False}",[],[0],fail,20260719_seed2026071802_c401b4e_p1,[1],red_objects
0,,[0.010745442708333334],official_classic_object_09_disc_face,单视角红球应产生严格候选；所有红色非球体不得被确认，形状结论交给多视角套件。,官方复杂楼宇红色物品：disc_face,,0,0,0,3410,1,0,,,"{'shape_name': 'disc_face', 'is_red_sphere_target': False}",[],[0],pass,20260719_seed2026071802_c401b4e_p1,[1],red_objects
0,,[0.005335286458333333],official_classic_object_10_cone_vertical,单视角红球应产生严格候选；所有红色非球体不得被确认，形状结论交给多视角套件。；背景结构边缘比例必须 >= 0.0060，防止近墙/空白画面充当复杂环境证据。,官方复杂楼宇红色物品：cone_vertical,Gazebo 临时模型清理失败；为防止残留物污染，已中止该套件。,0,0,0,0,0,0,,,"{'shape_name': 'cone_vertical', 'is_red_sphere_target': False}",[],[0],fail,20260719_seed2026071802_c401b4e_p1,[0],red_objects
0,,[0.00599609375],official_classic_object_11_cone_face,单视角红球应产生严格候选；所有红色非球体不得被确认，形状结论交给多视角套件。；背景结构边缘比例必须 >= 0.0060，防止近墙/空白画面充当复杂环境证据。,官方复杂楼宇红色物品：cone_face,,0,0,0,0,0,0,,,"{'shape_name': 'cone_face', 'is_red_sphere_target': False}",[],[0],fail,20260719_seed2026071802_2f1b8c1_p2reset,[0],red_objects
0,,[0.0056803385416666664],official_classic_object_12_oval_three_spheres,单视角红球应产生严格候选；所有红色非球体不得被确认，形状结论交给多视角套件。；背景结构边缘比例必须 >= 0.0060，防止近墙/空白画面充当复杂环境证据。,官方复杂楼宇红色物品：oval_three_spheres,,0,0,2,3542,0,0,,,"{'shape_name': 'oval_three_spheres', 'is_red_sphere_target': False}",[],[2],fail,20260719_seed2026071802_2f1b8c1_p2reset,[0],red_objects
0,,[0.006513671875],official_classic_object_13_flat_three_spheres,单视角红球应产生严格候选；所有红色非球体不得被确认，形状结论交给多视角套件。,官方复杂楼宇红色物品：flat_three_spheres,,0,0,2,2595,0,0,,,"{'shape_name': 'flat_three_spheres', 'is_red_sphere_target': False}",[],[2],pass,20260719_seed2026071802_2f1b8c1_p2reset,[0],red_objects
0,,[0.005462239583333334],official_classic_object_14_tilted_barrel,单视角红球应产生严格候选；所有红色非球体不得被确认，形状结论交给多视角套件。；背景结构边缘比例必须 >= 0.0060，防止近墙/空白画面充当复杂环境证据。,官方复杂楼宇红色物品：tilted_barrel,,0,0,1,3904,0,0,,,"{'shape_name': 'tilted_barrel', 'is_red_sphere_target': False}",[],[1],fail,20260719_seed2026071802_2f1b8c1_p2reset,[0],red_objects
0,,[0.00650390625],official_classic_object_15_rod_with_caps,单视角红球应产生严格候选；所有红色非球体不得被确认，形状结论交给多视角套件。,官方复杂楼宇红色物品：rod_with_caps,,0,0,3,2613,0,0,,,"{'shape_name': 'rod_with_caps', 'is_red_sphere_target': False}",[],[3],pass,20260719_seed2026071802_2f1b8c1_p2reset,[0],red_objects
0,,[0.005364583333333333],official_classic_object_16_l_shape,单视角红球应产生严格候选；所有红色非球体不得被确认，形状结论交给多视角套件。；背景结构边缘比例必须 >= 0.0060，防止近墙/空白画面充当复杂环境证据。,官方复杂楼宇红色物品：l_shape,,0,0,1,2653,0,0,,,"{'shape_name': 'l_shape', 'is_red_sphere_target': False}",[],[1],fail,20260719_seed2026071802_2f1b8c1_p2reset,[0],red_objects
0,,[0.006259765625],official_classic_object_17_t_shape,单视角红球应产生严格候选；所有红色非球体不得被确认，形状结论交给多视角套件。,官方复杂楼宇红色物品：t_shape,,0,0,1,2833,0,0,,,"{'shape_name': 't_shape', 'is_red_sphere_target': False}",[],[1],pass,20260719_seed2026071802_2f1b8c1_p2reset,[0],red_objects
0,,[0.006070963541666667],official_classic_object_18_cross_shape,单视角红球应产生严格候选；所有红色非球体不得被确认，形状结论交给多视角套件。,官方复杂楼宇红色物品：cross_shape,,0,0,1,2824,0,0,,,"{'shape_name': 'cross_shape', 'is_red_sphere_target': False}",[],[1],pass,20260719_seed2026071802_2f1b8c1_p2reset,[0],red_objects
0,,[0.0062890625],official_classic_object_19_dumbbell,单视角红球应产生严格候选；所有红色非球体不得被确认，形状结论交给多视角套件。,官方复杂楼宇红色物品：dumbbell,,0,0,2,3716,0,0,,,"{'shape_name': 'dumbbell', 'is_red_sphere_target': False}",[],[2],pass,20260719_seed2026071802_2f1b8c1_p2reset,[0],red_objects
0,,[0.005458984375],official_classic_object_20_two_lobe,单视角红球应产生严格候选；所有红色非球体不得被确认，形状结论交给多视角套件。；背景结构边缘比例必须 >= 0.0060，防止近墙/空白画面充当复杂环境证据。,官方复杂楼宇红色物品：two_lobe,,0,0,2,3955,0,0,,,"{'shape_name': 'two_lobe', 'is_red_sphere_target': False}",[],[2],fail,20260719_seed2026071802_2f1b8c1_p2reset,[0],red_objects
0,,[0.005667317708333334],official_classic_object_21_three_lobe,单视角红球应产生严格候选；所有红色非球体不得被确认，形状结论交给多视角套件。；背景结构边缘比例必须 >= 0.0060，防止近墙/空白画面充当复杂环境证据。,官方复杂楼宇红色物品：three_lobe,,0,0,3,4612,0,0,,,"{'shape_name': 'three_lobe', 'is_red_sphere_target': False}",[],[3],fail,20260719_seed2026071802_2f1b8c1_p2reset,[0],red_objects
0,,[0.005384114583333334],official_classic_object_22_ring_blocks,单视角红球应产生严格候选；所有红色非球体不得被确认，形状结论交给多视角套件。；背景结构边缘比例必须 >= 0.0060，防止近墙/空白画面充当复杂环境证据。,官方复杂楼宇红色物品：ring_blocks,,0,0,7,2543,0,0,,,"{'shape_name': 'ring_blocks', 'is_red_sphere_target': False}",[],[7],fail,20260719_seed2026071802_2f1b8c1_p2reset,[0],red_objects
0,,[0.005540364583333333],official_classic_object_23_stair_irregular,单视角红球应产生严格候选；所有红色非球体不得被确认，形状结论交给多视角套件。；背景结构边缘比例必须 >= 0.0060，防止近墙/空白画面充当复杂环境证据。,官方复杂楼宇红色物品：stair_irregular,,0,0,1,4262,0,0,,,"{'shape_name': 'stair_irregular', 'is_red_sphere_target': False}",[],[1],fail,20260719_seed2026071802_2f1b8c1_p2reset,[0],red_objects
0,,[0.0059635416666666665],official_classic_object_24_red_frame,单视角红球应产生严格候选；所有红色非球体不得被确认，形状结论交给多视角套件。；背景结构边缘比例必须 >= 0.0060，防止近墙/空白画面充当复杂环境证据。,官方复杂楼宇红色物品：red_frame,,0,0,1,3411,0,0,,,"{'shape_name': 'red_frame', 'is_red_sphere_target': False}",[],[1],fail,20260719_seed2026071802_2f1b8c1_p2reset,[0],red_objects
