case_id,suite,description,expected_red_ball_count,initial_strict_count,initial_partial_count,initial_red_pixel_count,actual_visible_ratio,strict_counts_by_view,partial_counts_by_view,final_confirmed_count,actual_lateral_move_count,motions,localized_truth_count,mean_localization_error_m,max_localization_error_m,criterion,result,metadata,background_edge_ratios
official_classic_object_11_cone_face,red_objects,官方复杂楼宇红色物品：cone_face,0,0,0,0,,[0],[0],0,0,[],0,,,单视角红球应产生严格候选；所有红色非球体不得被确认，形状结论交给多视角套件。；背景结构边缘比例必须 >= 0.0060，防止近墙/空白画面充当复杂环境证据。,fail,"{""shape_name"": ""cone_face"", ""is_red_sphere_target"": false}",[0.00599609375]
official_classic_object_12_oval_three_spheres,red_objects,官方复杂楼宇红色物品：oval_three_spheres,0,0,2,3542,,[0],[2],0,0,[],0,,,单视角红球应产生严格候选；所有红色非球体不得被确认，形状结论交给多视角套件。；背景结构边缘比例必须 >= 0.0060，防止近墙/空白画面充当复杂环境证据。,fail,"{""shape_name"": ""oval_three_spheres"", ""is_red_sphere_target"": false}",[0.0056803385416666664]
official_classic_object_13_flat_three_spheres,red_objects,官方复杂楼宇红色物品：flat_three_spheres,0,0,2,2595,,[0],[2],0,0,[],0,,,单视角红球应产生严格候选；所有红色非球体不得被确认，形状结论交给多视角套件。,pass,"{""shape_name"": ""flat_three_spheres"", ""is_red_sphere_target"": false}",[0.006513671875]
official_classic_object_14_tilted_barrel,red_objects,官方复杂楼宇红色物品：tilted_barrel,0,0,1,3904,,[0],[1],0,0,[],0,,,单视角红球应产生严格候选；所有红色非球体不得被确认，形状结论交给多视角套件。；背景结构边缘比例必须 >= 0.0060，防止近墙/空白画面充当复杂环境证据。,fail,"{""shape_name"": ""tilted_barrel"", ""is_red_sphere_target"": false}",[0.005462239583333334]
official_classic_object_15_rod_with_caps,red_objects,官方复杂楼宇红色物品：rod_with_caps,0,0,3,2613,,[0],[3],0,0,[],0,,,单视角红球应产生严格候选；所有红色非球体不得被确认，形状结论交给多视角套件。,pass,"{""shape_name"": ""rod_with_caps"", ""is_red_sphere_target"": false}",[0.00650390625]
official_classic_object_16_l_shape,red_objects,官方复杂楼宇红色物品：l_shape,0,0,1,2653,,[0],[1],0,0,[],0,,,单视角红球应产生严格候选；所有红色非球体不得被确认，形状结论交给多视角套件。；背景结构边缘比例必须 >= 0.0060，防止近墙/空白画面充当复杂环境证据。,fail,"{""shape_name"": ""l_shape"", ""is_red_sphere_target"": false}",[0.005364583333333333]
official_classic_object_17_t_shape,red_objects,官方复杂楼宇红色物品：t_shape,0,0,1,2833,,[0],[1],0,0,[],0,,,单视角红球应产生严格候选；所有红色非球体不得被确认，形状结论交给多视角套件。,pass,"{""shape_name"": ""t_shape"", ""is_red_sphere_target"": false}",[0.006259765625]
official_classic_object_18_cross_shape,red_objects,官方复杂楼宇红色物品：cross_shape,0,0,1,2824,,[0],[1],0,0,[],0,,,单视角红球应产生严格候选；所有红色非球体不得被确认，形状结论交给多视角套件。,pass,"{""shape_name"": ""cross_shape"", ""is_red_sphere_target"": false}",[0.006070963541666667]
official_classic_object_19_dumbbell,red_objects,官方复杂楼宇红色物品：dumbbell,0,0,2,3716,,[0],[2],0,0,[],0,,,单视角红球应产生严格候选；所有红色非球体不得被确认，形状结论交给多视角套件。,pass,"{""shape_name"": ""dumbbell"", ""is_red_sphere_target"": false}",[0.0062890625]
official_classic_object_20_two_lobe,red_objects,官方复杂楼宇红色物品：two_lobe,0,0,2,3955,,[0],[2],0,0,[],0,,,单视角红球应产生严格候选；所有红色非球体不得被确认，形状结论交给多视角套件。；背景结构边缘比例必须 >= 0.0060，防止近墙/空白画面充当复杂环境证据。,fail,"{""shape_name"": ""two_lobe"", ""is_red_sphere_target"": false}",[0.005458984375]
official_classic_object_21_three_lobe,red_objects,官方复杂楼宇红色物品：three_lobe,0,0,3,4612,,[0],[3],0,0,[],0,,,单视角红球应产生严格候选；所有红色非球体不得被确认，形状结论交给多视角套件。；背景结构边缘比例必须 >= 0.0060，防止近墙/空白画面充当复杂环境证据。,fail,"{""shape_name"": ""three_lobe"", ""is_red_sphere_target"": false}",[0.005667317708333334]
official_classic_object_22_ring_blocks,red_objects,官方复杂楼宇红色物品：ring_blocks,0,0,7,2543,,[0],[7],0,0,[],0,,,单视角红球应产生严格候选；所有红色非球体不得被确认，形状结论交给多视角套件。；背景结构边缘比例必须 >= 0.0060，防止近墙/空白画面充当复杂环境证据。,fail,"{""shape_name"": ""ring_blocks"", ""is_red_sphere_target"": false}",[0.005384114583333334]
official_classic_object_23_stair_irregular,red_objects,官方复杂楼宇红色物品：stair_irregular,0,0,1,4262,,[0],[1],0,0,[],0,,,单视角红球应产生严格候选；所有红色非球体不得被确认，形状结论交给多视角套件。；背景结构边缘比例必须 >= 0.0060，防止近墙/空白画面充当复杂环境证据。,fail,"{""shape_name"": ""stair_irregular"", ""is_red_sphere_target"": false}",[0.005540364583333333]
official_classic_object_24_red_frame,red_objects,官方复杂楼宇红色物品：red_frame,0,0,1,3411,,[0],[1],0,0,[],0,,,单视角红球应产生严格候选；所有红色非球体不得被确认，形状结论交给多视角套件。；背景结构边缘比例必须 >= 0.0060，防止近墙/空白画面充当复杂环境证据。,fail,"{""shape_name"": ""red_frame"", ""is_red_sphere_target"": false}",[0.0059635416666666665]
