case_id,suite,description,expected_red_ball_count,initial_strict_count,initial_partial_count,initial_red_pixel_count,actual_visible_ratio,strict_counts_by_view,partial_counts_by_view,final_confirmed_count,actual_lateral_move_count,motions,localized_truth_count,mean_localization_error_m,max_localization_error_m,criterion,result,metadata,background_edge_ratios,error
official_classic_object_01_sphere_standard,red_objects,官方复杂楼宇红色物品：sphere_standard,1,1,0,2464,,[1],[0],0,0,[],1,3.0242,3.0242,单视角红球应产生严格候选；所有红色非球体不得被确认，形状结论交给多视角套件。；背景结构边缘比例必须 >= 0.0060，防止近墙/空白画面充当复杂环境证据。,fail,"{""shape_name"": ""sphere_standard"", ""is_red_sphere_target"": true}",[0.005325520833333333],
official_classic_object_02_sphere_small,red_objects,官方复杂楼宇红色物品：sphere_small,1,1,0,1092,,[1],[0],0,0,[],1,4.4693,4.4693,单视角红球应产生严格候选；所有红色非球体不得被确认，形状结论交给多视角套件。,pass,"{""shape_name"": ""sphere_small"", ""is_red_sphere_target"": true}",[0.007047526041666667],
official_classic_object_03_sphere_large,red_objects,官方复杂楼宇红色物品：sphere_large,1,1,0,4937,,[1],[0],0,0,[],1,2.226,2.226,单视角红球应产生严格候选；所有红色非球体不得被确认，形状结论交给多视角套件。；背景结构边缘比例必须 >= 0.0060，防止近墙/空白画面充当复杂环境证据。,fail,"{""shape_name"": ""sphere_large"", ""is_red_sphere_target"": true}",[0.005384114583333334],
official_classic_object_04_cube,red_objects,官方复杂楼宇红色物品：cube,0,0,1,3687,,[0],[1],0,0,[],0,,,单视角红球应产生严格候选；所有红色非球体不得被确认，形状结论交给多视角套件。；背景结构边缘比例必须 >= 0.0060，防止近墙/空白画面充当复杂环境证据。,fail,"{""shape_name"": ""cube"", ""is_red_sphere_target"": false}",[0.005384114583333334],
official_classic_object_05_tall_cuboid,red_objects,官方复杂楼宇红色物品：tall_cuboid,0,0,1,3173,,[0],[1],0,0,[],0,,,单视角红球应产生严格候选；所有红色非球体不得被确认，形状结论交给多视角套件。；背景结构边缘比例必须 >= 0.0060，防止近墙/空白画面充当复杂环境证据。,fail,"{""shape_name"": ""tall_cuboid"", ""is_red_sphere_target"": false}",[0.005406901041666667],
official_classic_object_06_flat_panel,red_objects,官方复杂楼宇红色物品：flat_panel,0,0,1,4419,,[0],[1],0,0,[],0,,,单视角红球应产生严格候选；所有红色非球体不得被确认，形状结论交给多视角套件。,pass,"{""shape_name"": ""flat_panel"", ""is_red_sphere_target"": false}",[0.01439453125],
official_classic_object_07_cylinder_vertical,red_objects,官方复杂楼宇红色物品：cylinder_vertical,0,0,1,3969,,[0],[1],0,0,[],0,,,单视角红球应产生严格候选；所有红色非球体不得被确认，形状结论交给多视角套件。,pass,"{""shape_name"": ""cylinder_vertical"", ""is_red_sphere_target"": false}",[0.008880208333333334],
official_classic_object_08_cylinder_face,red_objects,官方复杂楼宇红色物品：cylinder_face,0,1,0,2894,,[1],[0],0,0,[],0,,,单视角红球应产生严格候选；所有红色非球体不得被确认，形状结论交给多视角套件。；背景结构边缘比例必须 >= 0.0060，防止近墙/空白画面充当复杂环境证据。,fail,"{""shape_name"": ""cylinder_face"", ""is_red_sphere_target"": false}",[0.005592447916666667],
official_classic_object_09_disc_face,red_objects,官方复杂楼宇红色物品：disc_face,0,1,0,3410,,[1],[0],0,0,[],0,,,单视角红球应产生严格候选；所有红色非球体不得被确认，形状结论交给多视角套件。,pass,"{""shape_name"": ""disc_face"", ""is_red_sphere_target"": false}",[0.010745442708333334],
official_classic_object_10_cone_vertical,red_objects,官方复杂楼宇红色物品：cone_vertical,0,0,0,0,,[0],[0],0,0,[],0,,,单视角红球应产生严格候选；所有红色非球体不得被确认，形状结论交给多视角套件。；背景结构边缘比例必须 >= 0.0060，防止近墙/空白画面充当复杂环境证据。,fail,"{""shape_name"": ""cone_vertical"", ""is_red_sphere_target"": false}",[0.005335286458333333],Gazebo 临时模型清理失败；为防止残留物污染，已中止该套件。
