case_id,suite,description,expected_red_ball_count,initial_strict_count,initial_partial_count,initial_red_pixel_count,actual_visible_ratio,strict_counts_by_view,partial_counts_by_view,final_confirmed_count,actual_lateral_move_count,motions,localized_truth_count,mean_localization_error_m,max_localization_error_m,criterion,result,metadata,background_edge_ratios
official_classic_partial_00_baseline,partial_visibility,官方复杂楼宇无遮挡红球基准,1,1,0,2465,1.0,[1],[0],0,0,[],1,2.9824,2.9824,任一视角必须产生严格或 reobserve 候选；实际红像素可见比例须接近设计值；候选不是确认。；背景结构边缘比例必须 >= 0.0060，防止近墙/空白画面充当复杂环境证据。,fail,"{""visible_ratio_design"": 1.0}",[0.005983072916666667]
official_classic_partial_left_05pct,partial_visibility,官方复杂楼宇left侧约 5% 可见红球,1,0,1,510,0.2069,[0],[1],0,0,[],0,,,任一视角必须产生严格或 reobserve 候选；实际红像素可见比例须接近设计值；候选不是确认。,fail,"{""visible_ratio_design"": 0.05, ""visible_ratio_precalibration_input"": 0.314, ""occlusion_side"": ""left"", ""occluder_center_x"": -0.00923, ""circle_cut_x"": 0.30077, ""requires_reobserve"": true}",[0.007620442708333334]
official_classic_partial_left_10pct,partial_visibility,官方复杂楼宇left侧约 10% 可见红球,1,0,1,636,0.258,[0],[1],0,0,[],0,,,任一视角必须产生严格或 reobserve 候选；实际红像素可见比例须接近设计值；候选不是确认。,fail,"{""visible_ratio_design"": 0.1, ""visible_ratio_precalibration_input"": 0.369, ""occlusion_side"": ""left"", ""occluder_center_x"": -0.02263, ""circle_cut_x"": 0.28737, ""requires_reobserve"": true}",[0.006516927083333333]
official_classic_partial_left_15pct,partial_visibility,官方复杂楼宇left侧约 15% 可见红球,1,0,1,784,0.3181,[0],[1],0,0,[],0,,,任一视角必须产生严格或 reobserve 候选；实际红像素可见比例须接近设计值；候选不是确认。,fail,"{""visible_ratio_design"": 0.15, ""visible_ratio_precalibration_input"": 0.426, ""occlusion_side"": ""left"", ""occluder_center_x"": -0.03624, ""circle_cut_x"": 0.27376, ""requires_reobserve"": true}",[0.006516927083333333]
official_classic_partial_left_25pct,partial_visibility,官方复杂楼宇left侧约 25% 可见红球,1,0,1,1018,0.413,[0],[1],0,0,[],0,,,任一视角必须产生严格或 reobserve 候选；实际红像素可见比例须接近设计值；候选不是确认。,fail,"{""visible_ratio_design"": 0.25, ""visible_ratio_precalibration_input"": 0.515, ""occlusion_side"": ""left"", ""occluder_center_x"": -0.05725, ""circle_cut_x"": 0.25275, ""requires_reobserve"": true}",[0.00677734375]
official_classic_partial_left_35pct,partial_visibility,官方复杂楼宇left侧约 35% 可见红球,1,1,0,1253,0.5083,[1],[0],0,0,[],1,4.5392,4.5392,任一视角必须产生严格或 reobserve 候选；实际红像素可见比例须接近设计值；候选不是确认。,fail,"{""visible_ratio_design"": 0.35, ""visible_ratio_precalibration_input"": 0.6, ""occlusion_side"": ""left"", ""occluder_center_x"": -0.07738, ""circle_cut_x"": 0.23262, ""requires_reobserve"": true}",[0.006539713541666666]
official_classic_partial_left_45pct,partial_visibility,官方复杂楼宇left侧约 45% 可见红球,1,1,0,1484,0.602,[1],[0],0,0,[],1,4.0659,4.0659,任一视角必须产生严格或 reobserve 候选；实际红像素可见比例须接近设计值；候选不是确认。,fail,"{""visible_ratio_design"": 0.45, ""visible_ratio_precalibration_input"": 0.683, ""occlusion_side"": ""left"", ""occluder_center_x"": -0.09746, ""circle_cut_x"": 0.21254, ""requires_reobserve"": true}",[0.007337239583333334]
official_classic_partial_left_55pct,partial_visibility,官方复杂楼宇left侧约 55% 可见红球,1,1,0,1696,0.688,[1],[0],0,0,[],1,3.7829,3.7829,任一视角必须产生严格或 reobserve 候选；实际红像素可见比例须接近设计值；候选不是确认。,pass,"{""visible_ratio_design"": 0.55, ""visible_ratio_precalibration_input"": 0.759, ""occlusion_side"": ""left"", ""occluder_center_x"": -0.11664, ""circle_cut_x"": 0.19336, ""requires_reobserve"": true}",[0.007119140625]
official_classic_partial_left_65pct,partial_visibility,官方复杂楼宇left侧约 65% 可见红球,1,1,0,1906,0.7732,[1],[0],0,0,[],1,3.5572,3.5572,任一视角必须产生严格或 reobserve 候选；实际红像素可见比例须接近设计值；候选不是确认。,pass,"{""visible_ratio_design"": 0.65, ""visible_ratio_precalibration_input"": 0.833, ""occlusion_side"": ""left"", ""occluder_center_x"": -0.13662, ""circle_cut_x"": 0.17338, ""requires_reobserve"": true}",[0.00658203125]
official_classic_partial_left_75pct,partial_visibility,官方复杂楼宇left侧约 75% 可见红球,1,1,0,2130,0.8641,[1],[0],0,0,[],1,3.332,3.332,任一视角必须产生严格或 reobserve 候选；实际红像素可见比例须接近设计值；候选不是确认。,pass,"{""visible_ratio_design"": 0.75, ""visible_ratio_precalibration_input"": 0.91, ""occlusion_side"": ""left"", ""occluder_center_x"": -0.16007, ""circle_cut_x"": 0.14993, ""requires_reobserve"": true}",[0.008720703125]
official_classic_partial_left_85pct,partial_visibility,官方复杂楼宇left侧约 85% 可见红球,1,1,0,2355,0.9554,[1],[0],0,0,[],1,3.1522,3.1522,任一视角必须产生严格或 reobserve 候选；实际红像素可见比例须接近设计值；候选不是确认。,pass,"{""visible_ratio_design"": 0.85, ""visible_ratio_precalibration_input"": 0.98, ""occlusion_side"": ""left"", ""occluder_center_x"": -0.18802, ""circle_cut_x"": 0.12198, ""requires_reobserve"": true}",[0.0067740885416666665]
official_classic_partial_right_05pct,partial_visibility,官方复杂楼宇right侧约 5% 可见红球,1,0,0,25,0.0101,[0],[0],0,0,[],0,,,任一视角必须产生严格或 reobserve 候选；实际红像素可见比例须接近设计值；候选不是确认。,fail,"{""visible_ratio_design"": 0.05, ""visible_ratio_precalibration_input"": 0.001, ""occlusion_side"": ""right"", ""occluder_center_x"": 0.41839, ""circle_cut_x"": 0.10839, ""requires_reobserve"": true}",[0.006627604166666667]
official_classic_partial_right_10pct,partial_visibility,官方复杂楼宇right侧约 10% 可见红球,1,0,1,88,0.0357,[0],[1],0,0,[],0,,,任一视角必须产生严格或 reobserve 候选；实际红像素可见比例须接近设计值；候选不是确认。,pass,"{""visible_ratio_design"": 0.1, ""visible_ratio_precalibration_input"": 0.019, ""occlusion_side"": ""right"", ""occluder_center_x"": 0.43145, ""circle_cut_x"": 0.12145, ""requires_reobserve"": true}",[0.008990885416666667]
official_classic_partial_right_15pct,partial_visibility,官方复杂楼宇right侧约 15% 可见红球,1,0,1,192,0.0779,[0],[1],0,0,[],0,,,任一视角必须产生严格或 reobserve 候选；实际红像素可见比例须接近设计值；候选不是确认。,pass,"{""visible_ratio_design"": 0.15, ""visible_ratio_precalibration_input"": 0.051, ""occlusion_side"": ""right"", ""occluder_center_x"": 0.44587, ""circle_cut_x"": 0.13587, ""requires_reobserve"": true}",[0.006705729166666666]
